	quote	quotee	quoteeAffiliation	quoteeType	articleTopic	articleSim	quoteTopic	quoteSim
679	"â€œItâ€™s really sad that you can buy a can of coke or a bag of chips for cheaper than a couple bell peppers or some really good tomatoes,â€ù Lawler said.. ."	Johnathan Lawler	unknown	PERSON	potatoes	0.7578125	potatoes	0.7578125
681	"The Los Angeles Times reported that the LA fast food ordinance ""was meant to be part of a larger strategy that includes bringing grocery stores and farmers markets to replace fast-food restaurants."	The Los Angeles Times	The Los Angeles Times	ORG	fast food	0.801041667	fast food	0.7578125
851	"Said Mr. Jeremy Lee, â€œThe success of Khun Thai Tea in the capital city of Philippines has confirmed the potential of a Asia-wide market for our unique brand of Thai ice black tea."	Jeremy Lee	unknown	PERSON	coffee	0.841765873	coffee	0.7578125
854	"Said Mr. Jeremy Lee, â€œThe success of Khun Thai Tea in the capital city of Philippines has confirmed the potential of a Asia-wide market for our unique brand of Thai ice black tea."	Jeremy Lee	unknown	PERSON	coffee	0.844238281	coffee	0.7578125
965	"In addition, the American Liver Foundation says that NASH is one of the leading causes of cirrhosis in adults in the United States, with up to 25% of adults with NASH having cirrhosis."	the American Liver Foundation	the American Liver Foundation	ORG	liver	0.735888975	liver	0.7578125
982	"""This action is a milestone in consumer protection -- going forward, the FDA will be able to review new tobacco products not yet on the market, help prevent misleading claims by tobacco product manufacturers, evaluate the ingredients of tobacco products and how they are made, and communicate the potential risks of tobacco products,"" the FDA said in announcing the changes.. ."	FDA	FDA	ORG	cancer	0.859375	cancer	0.80625
983	"""This action is a milestone in consumer protection -- going forward, the FDA will be able to review new tobacco products not yet on the market, help prevent misleading claims by tobacco product manufacturers, evaluate the ingredients of tobacco products and how they are made, and communicate the potential risks of tobacco products,"" the FDA said in announcing the changes.. ."	FDA	FDA	ORG	cancer	0.848557692	cancer	0.80625
1012	"""This action is a milestone in consumer protection -- going forward, the FDA will be able to review new tobacco products not yet on the market, help prevent misleading claims by tobacco product manufacturers, evaluate the ingredients of tobacco products and how they are made, and communicate the potential risks of tobacco products,"" the FDA said in announcing the changes.. ."	the Food and Drug Administration	the Food and Drug Administration	ORG	cancer	0.859375	cancer	0.80625
1013	"""This action is a milestone in consumer protection -- going forward, the FDA will be able to review new tobacco products not yet on the market, help prevent misleading claims by tobacco product manufacturers, evaluate the ingredients of tobacco products and how they are made, and communicate the potential risks of tobacco products,"" the FDA said in announcing the changes.. ."	the Food and Drug Administration	the Food and Drug Administration	ORG	cancer	0.848557692	cancer	0.80625
1172	"""This action is a milestone in consumer protection -- going forward, the FDA will be able to review new tobacco products not yet on the market, help prevent misleading claims by tobacco product manufacturers, evaluate the ingredients of tobacco products and how they are made, and communicate the potential risks of tobacco products,"" the FDA said in announcing the changes.. ."	Food and Drug Administration	Food and Drug Administration	ORG	cancer	0.859375	cancer	0.80625
1173	"""This action is a milestone in consumer protection -- going forward, the FDA will be able to review new tobacco products not yet on the market, help prevent misleading claims by tobacco product manufacturers, evaluate the ingredients of tobacco products and how they are made, and communicate the potential risks of tobacco products,"" the FDA said in announcing the changes.. ."	Food and Drug Administration	Food and Drug Administration	ORG	cancer	0.848557692	cancer	0.80625
1322	"""With SmartGuard HCL, the ability to automate basal insulin dosing 24 hours a day is a much-anticipated advancement in the diabetes community for the profound impact it may have on managing diabetes - particularly for minimizing glucose variability and maximizing time in the target range,"" said Richard M. Bergenstal, M.D., principal investigator of the pivotal study and executive director of the Park Nicollet International Diabetes Center in Minneapolis."	Richard M. Bergenstal	the Park Nicollet International Diabetes Center	PERSON	diabetes	0.946180556	diabetes	0.838541667
1327	The FDA announced the availability of the following documents: 1) a draft guidance for industry entitled Inorganic Arsenic in Rice Cereals for Infants: Action Level ; 2) a supporting document entitled Supporting Document for Action Level for Inorganic Arsenic in Rice Cereals for Infant ; and 3) a risk assessment report entitled Arsenic in Rice and Rice Products Risk Assessment Report .	FDA	FDA	ORG	rice	0.762222953	rice	0.78125
1334	"The FDA said in a statement the regulations will bring these products in line with how it oversees other tobacco products such as cigarettes, smokeless tobacco and roll-your-own tobacco.. ."	FDA	FDA	ORG	cancer	0.838541667	cancer	0.7578125
1336	"The FDA said in a statement the regulations will bring these products in line with how it oversees other tobacco products such as cigarettes, smokeless tobacco and roll-your-own tobacco.. ."	The Food and Drug Administration	The Food and Drug Administration	ORG	cancer	0.838541667	cancer	0.7578125
1345	"The report reminds us that â€œWhile recognising the primacy of complete cessation of all tobacco and nicotine use as the ultimate goal to prevent harm from smoking, the report argued that promoting widespread substitution of cigarettes and other tobacco combustion products would, for smokers who made the change, achieve much the same thing.â€ù I also watched the excitement with which the vapor community cheered at the bi-partisan vote in the House Appropriations Committee to change the predicate date for FDA deeming regulations."	authority	authority	authority	cancer	0.941789216	cancer	0.80625
1351	"The Food and Agriculture Organization (FAO) said this monthâ€™s upgrade mostly reflects positive output revisions for wheat, mainly in Canada and Russia, and coarse grains in China, Canada and Paraguay, more than compensating for reductions of coarse grains production in the EU, the Sudan, Russian Federation, Ukraine and the United States.. ."	Food and Agriculture Organization	Food and Agriculture Organization	ORG	rice	0.871881696	rice	0.7578125
1352	"Energy Marketing Conferences Announce Nominees for Annual REP Awards...Energy Marketing Conferences, LLC announced today the nominees for the â€œ2016 Retail Energy Provider of the Year Awardâ€ù as well as the â€œ2016 Most Innovative Marketer Awardâ€ù that will be presented at.... ."	LLC	LLC	ORG	energy	0.838541667	energy	0.838541667
1353	"Energy Marketing Conferences Announce Nominees for Annual REP Awards...Energy Marketing Conferences, LLC announced today the nominees for the â€œ2016 Retail Energy Provider of the Year Awardâ€ù as well as the â€œ2016 Most Innovative Marketer Awardâ€ù that will be presented at.... ."	LLC	LLC	ORG	energy	0.71875	energy	0.838541667
1357	"Energy Marketing Conferences Announce Nominees for Annual REP Awards...Energy Marketing Conferences, LLC announced today the nominees for the â€œ2016 Retail Energy Provider of the Year Awardâ€ù as well as the â€œ2016 Most Innovative Marketer Awardâ€ù that will be presented at.... ."	LLC	LLC	ORG	energy	0.861607143	energy	0.838541667
1468	"However, with smoked salmon, recent studies have shown that it has a very low level of mercury compared to other fish such as shark and swordfish."	authority	authority	authority	fish	0.757601351	fish	0.7578125
1527	"The content of four kinds of nutritional elements, including protein, fat, carbohydrate and sodium, as well as the calorie count should be labeled on the packages, Su said.. ."	Su Zhi	unknown	PERSON	fat	0.861607143	fat	0.7578125
1655	"Saving water by planting perennials: Much like nutrients, water often either seems to be overabundant (floods) or far too limited (drought), and climate change research suggests that this problem may only get worse."	authority	authority	authority	water	0.721439045	water	0.7578125
1656	"Indu Makkal Katchi-Tamilagam would stage protest demonstrations against beef fests and serve pork meat to the agitators, its founder President Arjun Sampath said.. ."	Arjun Sampath	unknown	PERSON	meat	0.949013158	meat	0.7578125
1670	"GENEVA: Smoking and other tobacco use kills more than seven million people each year, the World Health Organization said on Tuesday (May 30), also warning of the dire environmental impact of tobacco production, distribution and waste.. ."	the World Health Organization	the World Health Organization	ORG	cancer	0.795036765	cancer	0.7578125
1672	"""The evidence shows that more modern cigarettes are more risky for lung cancer,"" said Dr. Peter G. Shields, a co-author of the study, deputy director of the Comprehensive Cancer Center at James Cancer Hospital and a professor at the Ohio State University."	Peter G. Shields	the Comprehensive Cancer Center	PERSON	cancer	0.884447674	cancer	0.80625
1681	"The ad attempts to satirise earlier iterations of the Australia Day lamb campaign, which were fronted by Sam Kekovitch, and aims to capitalise on the increasing number of people in Australia looking to eat less meat, a statement from The Alternative Meat Co. said.. ."	The Alternative Meat Co.	The Alternative Meat Co.	ORG	meat	0.863104048	meat	0.7578125
1701	"After the FDA recently approved the sale of GMO salmon, many consumers were worried that the fish would soon grace the aisles of their grocery storesâ€”a worry triggered by the fact that the FDA doesnâ€™t require GMO producers to label their goods, and the company producing the GMO salmon has stated that they intend to label their product Atlantic salmon.. ."	GMO	GMO	ORG	fish	0.801041667	fish	0.80625
1703	"Taubes reveals the bad nutritional science of the last century, none more damaging or misguided than the calories-in, calories-out model of why we get fat, and the good science that has been ignored, especially regarding insulins regulation of our fat tissue."	Gary Taubes	unknown	PERSON	fat	0.949013158	fat	0.80625
1704	"When the Nutrition Facts label says a food contains â€œ0 gâ€ù of trans fat, but includes â€œpartially hydrogenated oilâ€ù in the ingredient list, it means the food contains trans fat, but less than 0.5 grams of trans fat per serving."	the Nutrition Facts	the Nutrition Facts	ORG	fat	0.824365883	fat	0.7578125
1710	"""By adding Coca-Cola Life to our family of colas, we are giving people an extra option thatâ€™s lower in sugar and calories, with sweetness from natural sources,"" Coca-Cola said."	Coca-Cola	Coca-Cola	ORG	sugar	0.934375	sugar	0.80625
1711	A survey shows 95 percent of Chinese consumers consider peanuts healthy and nutritious; 99 percent say they eat peanuts and 86 percent eat peanuts once a week or more often.. .	authority	authority	authority	fruit	0.754295212	fruit	0.7578125
1712	"""The role of forests for water is becoming even more important in the face of climate change, with increased incidences of extreme climate events such as flooding and drought, and increased water insecurity,"" said FAO Assistant Director General of Forestry, RenÃ© Castro."	RenÃ© Castro	FAO	PERSON	water	0.9343601	water	0.7578125
1713	"""The role of forests for water is becoming even more important in the face of climate change, with increased incidences of extreme climate events such as flooding and drought, and increased water insecurity,"" said FAO Assistant Director General of Forestry, RenÃ© Castro."	RenÃ© Castro	FAO	PERSON	water	0.936648752	water	0.7578125
1733	"Mike Hobday, director of policy at the BHF, said: ""Parents want their children to be healthy, but at every step, the food and drinks industry are aggressively targeting children as consumers, and turning the checkout into a junk food battleground.. ."	Mike Hobday	BHF	PERSON	children	0.895071169	children	0.7578125
1775	"This class of drugs ""remains a good option for many patients with diabetes given that they are oral medications with largely tolerable side effects and they effectively reduce glucose levels,"" Sood said.. ."	Minisha Sood	unknown	PERSON	diabetes	0.855024762	diabetes	0.7578125
1793	"FDA to extend tobacco regulations to e-cigarettes -KETV Omaha The U.S. Food and Drug Administration announced Thursday that it will regulate all tobacco products, including e-cigarettes, cigars, hookah tobacco and pipe tobacco, among others."	The Food and Drug Administration	The Food and Drug Administration	ORG	cancer	0.972321429	cancer	0.80625
1794	"FDA to extend tobacco regulations to e-cigarettes -KETV Omaha The U.S. Food and Drug Administration announced Thursday that it will regulate all tobacco products, including e-cigarettes, cigars, hookah tobacco and pipe tobacco, among others."	The Food and Drug Administration	The Food and Drug Administration	ORG	cancer	0.96875	cancer	0.80625
1799	"FDA to extend tobacco regulations to e-cigarettes -KETV Omaha The U.S. Food and Drug Administration announced Thursday that it will regulate all tobacco products, including e-cigarettes, cigars, hookah tobacco and pipe tobacco, among others."	Food and Drug Administration	Food and Drug Administration	ORG	cancer	0.972321429	cancer	0.80625
1800	"FDA to extend tobacco regulations to e-cigarettes -KETV Omaha The U.S. Food and Drug Administration announced Thursday that it will regulate all tobacco products, including e-cigarettes, cigars, hookah tobacco and pipe tobacco, among others."	Food and Drug Administration	Food and Drug Administration	ORG	cancer	0.96875	cancer	0.80625
1813	"â€œWeâ€™re trying to make the theatre smell like pie,â€ù says Stacy Donnelly, owner of Cute as Cake bakery and official pie consultant on Broadwayâ€™s Waitress."	Stacy Donnelly	Broadwayâ€™s Waitress	PERSON	butter	0.770905721	butter	0.7578125
1822	"In April 2013, the Academy of Nutrition and Dietetics (the Academy) published the position paper ""Nutrition Security in Developing Nations: Sustainable Food, Water, and Health,"" outlining the importance of developing interventions that address safe drinking water and improved sanitation facilities.24 ""Access to clean, safe drinking water and proper sanitation are issues RDs should care about because they potentially affect malnutrition and maternal and newborn survival,"" said member Christine McCullum-Gomez, PhD, RD, a food and nutrition consultant.. ."	Christine McCullum-Gomez	RD	PERSON	water	0.773678032	water	0.7578125
1838	"By 2050 some 60 percent more food will be needed to feed the world's people and as farming remains the largest user of water, food must be produced sustainably to ensure future supplies of food and water, the FAO and the World Water Council (WWC) said in a joint report.. ."	FAO	FAO	ORG	water	0.884191176	water	0.7578125
1840	"By 2050 some 60 percent more food will be needed to feed the world's people and as farming remains the largest user of water, food must be produced sustainably to ensure future supplies of food and water, the FAO and the World Water Council (WWC) said in a joint report.. ."	FAO	FAO	ORG	water	0.86875	water	0.7578125
1842	"By 2050 some 60 percent more food will be needed to feed the world's people and as farming remains the largest user of water, food must be produced sustainably to ensure future supplies of food and water, the FAO and the World Water Council (WWC) said in a joint report.. ."	FAO	FAO	ORG	water	0.935416667	water	0.7578125
1843	"By 2050 some 60 percent more food will be needed to feed the world's people and as farming remains the largest user of water, food must be produced sustainably to ensure future supplies of food and water, the FAO and the World Water Council (WWC) said in a joint report.. ."	the Food and Agriculture Organisation	the Food and Agriculture Organisation	ORG	water	0.884191176	water	0.7578125
1845	"By 2050 some 60 percent more food will be needed to feed the world's people and as farming remains the largest user of water, food must be produced sustainably to ensure future supplies of food and water, the FAO and the World Water Council (WWC) said in a joint report.. ."	the Food and Agriculture Organisation	the Food and Agriculture Organisation	ORG	water	0.86875	water	0.7578125
1847	"By 2050 some 60 percent more food will be needed to feed the world's people and as farming remains the largest user of water, food must be produced sustainably to ensure future supplies of food and water, the FAO and the World Water Council (WWC) said in a joint report.. ."	the Food and Agriculture Organisation	the Food and Agriculture Organisation	ORG	water	0.935416667	water	0.7578125
1868	"By 2050 some 60 percent more food will be needed to feed the world's people and as farming remains the largest user of water, food must be produced sustainably to ensure future supplies of food and water, the FAO and the World Water Council (WWC) said in a joint report.. ."	the Food and Agriculture Organization	the Food and Agriculture Organization	ORG	water	0.884191176	water	0.7578125
1870	"By 2050 some 60 percent more food will be needed to feed the world's people and as farming remains the largest user of water, food must be produced sustainably to ensure future supplies of food and water, the FAO and the World Water Council (WWC) said in a joint report.. ."	the Food and Agriculture Organization	the Food and Agriculture Organization	ORG	water	0.86875	water	0.7578125
1872	"By 2050 some 60 percent more food will be needed to feed the world's people and as farming remains the largest user of water, food must be produced sustainably to ensure future supplies of food and water, the FAO and the World Water Council (WWC) said in a joint report.. ."	the Food and Agriculture Organization	the Food and Agriculture Organization	ORG	water	0.935416667	water	0.7578125
1948	"Excessive use and pollution of water resources in key food-producing regions are threatening the sustainability of jobs that depend on water and agriculture, the report said.. ."	authority	authority	authority	water	0.884191176	water	0.7578125
1950	"Excessive use and pollution of water resources in key food-producing regions are threatening the sustainability of jobs that depend on water and agriculture, the report said.. ."	authority	authority	authority	water	0.86875	water	0.7578125
1952	"Excessive use and pollution of water resources in key food-producing regions are threatening the sustainability of jobs that depend on water and agriculture, the report said.. ."	authority	authority	authority	water	0.935416667	water	0.7578125
2063	"The FDA has said it will probably not require labeling of the fish, however Alaska, a top wild salmon producer, requires labeling of genetically engineered salmon and momentum is growing for GMO labeling in a number of states across the U.S. and at the federal level.. ."	FDA	FDA	ORG	fish	0.904233871	fish	0.7578125
2065	"Americans will be eating synthetic salmon, thinking they are receiving the nutritional benefits of wild salmon,â€ù said Dr. Pete Knutson, owner of Loki Fish Company and Commissioner on the Puget Sound Salmon Commission.. ."	Pete Knutson	Loki Fish Company	PERSON	fish	0.904233871	fish	0.80625
2179	"That box of General Millsâ€™ Vanilla Chex cereal youâ€™re buying may say â€œno high fructose corn syrupâ€ù on the front of the box, but HFCS will be hidden in the ingredients list under the name fructose, which is the most concentrated form of HFCS.. ."	Millsâ€™ Vanilla Chex	unknown	PERSON	sugar	0.752788693	sugar	0.80625
2180	"That box of General Millsâ€™ Vanilla Chex cereal youâ€™re buying may say â€œno high fructose corn syrupâ€ù on the front of the box, but HFCS will be hidden in the ingredients list under the name fructose, which is the most concentrated form of HFCS.. ."	Millsâ€™ Vanilla Chex	unknown	PERSON	sugar	0.737009412	sugar	0.80625
2218	"Beef prices might be at a record high across Australia but experts say red meat lovers can expect retail costs to ""flatline"" soon.. ."	authority	authority	authority	meat	0.90320122	meat	0.7578125
2220	"Robert Constable, NSW chairman of the Australian Meat Industry Council, said prices aside, red meat consumption had generally been in decline since 2002 due to ""changing lifestyles"".. ."	Robert Constable	NSW	PERSON	meat	0.90320122	meat	0.7578125
2226	"Itâ€™s about time that e-cigarettes are regulated like other tobacco products, said Dr. Roy Herbst, chief of medical oncology at Yale Cancer Center and Smilow Cancer Hospital at Yale-New Haven (Conn).. ."	Roy Herbst	Yale Cancer Center	PERSON	cancer	0.834201389	cancer	0.7578125
2228	"Ben Atkinson, Contracts Manager for catering at the Environment Agency, said; â€œHealth, safety and wellbeing are huge elements of the Environment Agencyâ€™s working culture, as is sustainability in our procurement model."	Ben Atkinson	the Environment Agency	PERSON	water	0.87890625	water	0.7578125
2231	"â€œThe state agencies, through their vote today, acknowledged that more effort is needed from FDA to clarify the role of State Milk Regulatory Programs in assuring the proper use of the standardized names of milk and milk products,â€ù said Briczinski."	Beth Briczinski	unknown	PERSON	milk	0.824448529	milk	0.7578125
2232	"â€œThe state agencies, through their vote today, acknowledged that more effort is needed from FDA to clarify the role of State Milk Regulatory Programs in assuring the proper use of the standardized names of milk and milk products,â€ù said Briczinski."	Beth Briczinski	unknown	PERSON	milk	0.846955128	milk	0.7578125
2233	"â€œThe state agencies, through their vote today, acknowledged that more effort is needed from FDA to clarify the role of State Milk Regulatory Programs in assuring the proper use of the standardized names of milk and milk products,â€ù said Briczinski."	Beth Briczinski	unknown	PERSON	milk	0.829464286	milk	0.7578125
2280	"Of that average, he found that:â€¢ 100 percent of Winnie the Pooh sold in Walmart stores had all pollen removed.â€¢ 100 percent of honey from individual packets from KFC and McDonald's had all pollen removed.â€¢ 77 percent of honey from big box stores like Costco, Sam's Club, and Target had no traced of pollen.â€¢ 100 percent of honey from drugstores like Walgreen's and CVS Pharmacy had all the pollen filtered out.â€¢ He did find out, however, that honey purchased from co-ops, farmers markets and stores like Trader Joes contained the full amount of original pollen.Mark Jensen, president of the American Honey Producers Association, says that removing all pollen from honey ""makes no sense."""	Mark Jensen	the American Honey Producers Association	PERSON	sugar	0.865985577	sugar	0.861607143
2286	"The report said: â€œThe world must increase its usable water supply and effectively manage water demand, while ensuring that everyone has access to enough water to meet their basic consumption and sanitation needs for survival.. ."	authority	authority	authority	water	0.897941322	water	0.7578125
2299	"""Our study adds to the body of evidence that excess calcium in the form of supplements may harm the heart and vascular system,"" said Erin Michos, from Johns Hopkins Medicine.Previous studies have shown that ""ingested calcium supplements - particularly in older people - do not make it to the skeleton or get completely excreted in the urine, so they must be accumulating in the body's soft tissues,"" said nutritionist John Anderson, from University of North Carolina in the US.Scientists also knew that as a person ages, calcium-based plaque builds up in the body's main blood vessel, the aorta and other arteries, impeding blood flow and increasing the risk of heart attack The researchers looked at detailed information from the Multi-Ethnic Study of Atherosclerosis, a long-running research project which included more than 6,000 people.The study focused on 2,742 of these participants who completed dietary questionnaires and two CT scans spanning 10 years apart."	Erin Michos	Johns Hopkins Medicine	PERSON	stress	0.765792092	stress	0.87890625
