Concept name,Concept categories,Concept literal,Language
"comfort food","Food; Processed Food; PF instance (generic)","food of convenience","en"
"life","","life","en"
"life","","life-time","en"
"life","","lifespan","en"
"life","","lifetime","en"
"life","","living","en"
"big food","Industry","beverage giant","en"
"big food","Industry","big bev","en"
"big food","Industry","big beverage","en"
"big food","Industry","big corp","en"
"big food","Industry","big corporation","en"
"big food","Industry","big drink","en"
"big food","Industry","big food","en"
"big food","Industry","big food company","en"
"big food","Industry","big food corp","en"
"big food","Industry","big food corporation","en"
"big food","Industry","conglomerate","en"
"big food","Industry","corporate giant","en"
"big food","Industry","drink giant","en"
"big food","Industry","food & beverage industry","en"
"big food","Industry","food and beverage company","en"
"big food","Industry","food and beverage industry","en"
"big food","Industry","food and drink company","en"
"big food","Industry","food chain","en"
"big food","Industry","food company","en"
"big food","Industry","food conglomerate","en"
"big food","Industry","food giant","en"
"big food","Industry","food inc","en"
"big food","Industry","food industry","en"
"big food","Industry","food maker","en"
"big food","Industry","food manufacture","en"
"big food","Industry","food manufacturer","en"
"big food","Industry","food manufacturers","en"
"big food","Industry","food market","en"
"big food","Industry","food marketing","en"
"big food","Industry","food merchandising","en"
"big food","Industry","food processing empire","en"
"big food","Industry","food producer","en"
"big food","Industry","food selling","en"
"big food","Industry","foodinc","en"
"big food","Industry","foodindustry","en"
"big food","Industry","foodmaker","en"
"big food","Industry","foodmarket","en"
"big food","Industry","foodstuff chain","en"
"big food","Industry","global company","en"
"big food","Industry","globalcompany","en"
"big food","Industry","grocery chain","en"
"big food","Industry","junk food industry","en"
"big food","Industry","large company","en"
"big food","Industry","largest food company","en"
"big food","Industry","major corp","en"
"big food","Industry","major corporation","en"
"big food","Industry","mega food","en"
"big food","Industry","mnc","en"
"big food","Industry","multinational company","en"
"big food","Industry","multinational corp","en"
"big food","Industry","multinational corporation","en"
"big food","Industry","multinationals","en"
"big food","Industry","processed food chain","en"
"big food","Industry","processed food company","en"
"big food","Industry","processed food industry","en"
"big food","Industry","processed food manufacturer","en"
"big food","Industry","processed food producer","en"
"big food","Industry","soft beverage giant","en"
"big food","Industry","soft drink giant","en"
"cooking","Food Processing","cook","en"
"cooking","Food Processing","cookery","en"
"cooking","Food Processing","cooking","en"
"cooking","Food Processing","cooking of food","en"
"cooking","Food Processing","food cooking","en"
"fda","","FDA","en"
"fda","","US Food and Drug Administration","en"
"fda","","USFDA","en"
"fda","","fda","en"
"fda","","food and drug administration","en"
"fda","","foodanddrugadministration","en"
"fda","","usfda","en"
"children","Children","child","en"
"children","Children","children","en"
"children","Children","kid","en"
"children","Children","kids","en"
"children","Children","preschoolers","en"
"children","Children","toddler","en"
"children","Children","youngster","en"
"artificial ingredient","Artificial Ingredient","PF additive","en"
"artificial ingredient","Artificial Ingredient","additive","en"
"artificial ingredient","Artificial Ingredient","artificial constituent","en"
"artificial ingredient","Artificial Ingredient","artificial ingredient","en"
"artificial ingredient","Artificial Ingredient","artificial preservative agent","en"
"artificial ingredient","Artificial Ingredient","artificial preserving agent","en"
"artificial ingredient","Artificial Ingredient","artificial substitute","en"
"artificial ingredient","Artificial Ingredient","chemical additive","en"
"artificial ingredient","Artificial Ingredient","chemical constituent","en"
"artificial ingredient","Artificial Ingredient","chemical ingredient","en"
"artificial ingredient","Artificial Ingredient","flavor additive","en"
"artificial ingredient","Artificial Ingredient","flavour additive","en"
"artificial ingredient","Artificial Ingredient","food additive","en"
"artificial ingredient","Artificial Ingredient","manufactured constituent","en"
"artificial ingredient","Artificial Ingredient","manufactured ingredient","en"
"artificial ingredient","Artificial Ingredient","processed food additive","en"
"artificial ingredient","Artificial Ingredient","synthetic additive","en"
"artificial ingredient","Artificial Ingredient","synthetic chemical","en"
"campaign","","campaign","en"
"campaign","","cause","en"
"campaign","","crusade","en"
"campaign","","effort","en"
"campaign","","movement","en"
"campaign","","tendency","en"
"mind","","brain","en"
"mind","","brainpower","en"
"mind","","encephalon","en"
"mind","","head","en"
"mind","","intellect","en"
"mind","","judgement","en"
"mind","","mind","en"
"mind","","psyche","en"
"mind","","thinker","en"
"media","","media","en"
"media","","medium","en"
"media","","news","en"
"GMO","Food; Processed Food; PF instance (generic); GMO","GM food","en"
"GMO","Food; Processed Food; PF instance (generic); GMO","GM product","en"
"GMO","Food; Processed Food; PF instance (generic); GMO","GMO","en"
"GMO","Food; Processed Food; PF instance (generic); GMO","GMO food","en"
"GMO","Food; Processed Food; PF instance (generic); GMO","GMO product","en"
"GMO","Food; Processed Food; PF instance (generic); GMO","bioengineered food","en"
"GMO","Food; Processed Food; PF instance (generic); GMO","franken food","en"
"GMO","Food; Processed Food; PF instance (generic); GMO","frankenfood","en"
"GMO","Food; Processed Food; PF instance (generic); GMO","genetically engineered food","en"
"GMO","Food; Processed Food; PF instance (generic); GMO","genetically engineered ingredient","en"
"GMO","Food; Processed Food; PF instance (generic); GMO","genetically engineered product","en"
"GMO","Food; Processed Food; PF instance (generic); GMO","genetically modified food","en"
"GMO","Food; Processed Food; PF instance (generic); GMO","genetically modified ingredient","en"
"GMO","Food; Processed Food; PF instance (generic); GMO","genetically modified organism","en"
"GMO","Food; Processed Food; PF instance (generic); GMO","geneticallymodifiedorganism","en"
"GMO","Food; Processed Food; PF instance (generic); GMO","gm produce","en"
"GMO","Food; Processed Food; PF instance (generic); GMO","gm product","en"
"GMO","Food; Processed Food; PF instance (generic); GMO","gmo ingredient","en"
"GMO","Food; Processed Food; PF instance (generic); GMO","gmos","en"
"choice","","alternative","en"
"choice","","choice","en"
"choice","","option","en"
"choice","","pick","en"
"choice","","selection","en"
"formula","","formula","en"
"formula","","recipe","en"
"university / institute","","college","en"
"university / institute","","institut","en"
"university / institute","","institute","en"
"university / institute","","school","en"
"university / institute","","university","en"
"university / institute","","university / institute","en"
"diet","","diet","en"
"diet","","dieting","en"
"diet","","food diet","en"
"diet","","food dieting","en"
"globe","","earth","en"
"globe","","globe","en"
"globe","","world","en"
"country","Country","country","en"
"country","Country","nation","en"
"discovery","","breakthrough","en"
"discovery","","discovery","en"
"discovery","","find","en"
"discovery","","uncovering","en"
"government","Regulation; government","administration","en"
"government","Regulation; government","agency","en"
"government","Regulation; government","authority","en"
"government","Regulation; government","bureau","en"
"government","Regulation; government","federal agency","en"
"government","Regulation; government","federal authority","en"
"government","Regulation; government","federal bureau","en"
"government","Regulation; government","federal government","en"
"government","Regulation; government","federal office","en"
"government","Regulation; government","federalgovernment","en"
"government","Regulation; government","goverment","en"
"government","Regulation; government","governance","en"
"government","Regulation; government","governing","en"
"government","Regulation; government","governing body","en"
"government","Regulation; government","government","en"
"government","Regulation; government","government agency","en"
"government","Regulation; government","government authority","en"
"government","Regulation; government","government bureau","en"
"government","Regulation; government","government office","en"
"government","Regulation; government","government official","en"
"government","Regulation; government","governmentofficial","en"
"government","Regulation; government","governor","en"
"government","Regulation; government","govt","en"
"government","Regulation; government","local administration","en"
"government","Regulation; government","local establishment","en"
"government","Regulation; government","local governing body","en"
"government","Regulation; government","local government","en"
"government","Regulation; government","local organisation","en"
"government","Regulation; government","local organization","en"
"government","Regulation; government","localgovernment","en"
"government","Regulation; government","minister","en"
"government","Regulation; government","office","en"
"snack","Food","bite","en"
"snack","Food","food treat","en"
"snack","Food","snack","en"
"snack","Food","snacks","en"
"snack","Food","treat","en"
"snack","Food","yummy treat","en"
"issue","","issue","en"
"issue","","matter","en"
"issue","","topic","en"
"company","Industry; Company","companies","en"
"company","Industry; Company","company","en"
"source / origin","","ancestry","en"
"source / origin","","basis","en"
"source / origin","","beginning","en"
"source / origin","","cornerstone","en"
"source / origin","","fundament","en"
"source / origin","","grounding","en"
"source / origin","","groundwork","en"
"source / origin","","instauration","en"
"source / origin","","lineage","en"
"source / origin","","origin","en"
"source / origin","","origination","en"
"source / origin","","root","en"
"source / origin","","rootage","en"
"source / origin","","source","en"
"source / origin","","source / origin","en"
"source / origin","","substructure","en"
"source / origin","","understructure","en"
"degree","","degree","en"
"degree","","grade","en"
"degree","","level","en"
"degree","","mark","en"
"degree","","stage","en"
"food processing","Food Processing","alertation of food","en"
"food processing","Food Processing","altering food","en"
"food processing","Food Processing","changing food","en"
"food processing","Food Processing","changing of food","en"
"food processing","Food Processing","food alteration","en"
"food processing","Food Processing","food altering","en"
"food processing","Food Processing","food changing","en"
"food processing","Food Processing","food manufacturing","en"
"food processing","Food Processing","food modification","en"
"food processing","Food Processing","food modifying","en"
"food processing","Food Processing","food prep","en"
"food processing","Food Processing","food preparation","en"
"food processing","Food Processing","food preparing","en"
"food processing","Food Processing","food process","en"
"food processing","Food Processing","food processing","en"
"food processing","Food Processing","food tampering","en"
"food processing","Food Processing","food transformation","en"
"food processing","Food Processing","food treatment","en"
"food processing","Food Processing","foodprocessing","en"
"food processing","Food Processing","handling of food","en"
"food processing","Food Processing","manufacturing food","en"
"food processing","Food Processing","manufacturing of food","en"
"food processing","Food Processing","modification of food","en"
"food processing","Food Processing","modifying food","en"
"food processing","Food Processing","preparation of food","en"
"food processing","Food Processing","preparing food","en"
"food processing","Food Processing","preparing of food","en"
"food processing","Food Processing","processing food","en"
"food processing","Food Processing","processing of food","en"
"food processing","Food Processing","tampering with food","en"
"food processing","Food Processing","transformation of food","en"
"food processing","Food Processing","transforming food","en"
"food processing","Food Processing","treat food","en"
"food processing","Food Processing","treating food","en"
"food processing","Food Processing","treating of food","en"
"food processing","Food Processing","treatment of food","en"
"evaluation","","analysis","en"
"evaluation","","assessment","en"
"evaluation","","diagnosis","en"
"evaluation","","evaluation","en"
"evaluation","","exam","en"
"evaluation","","examination","en"
"evaluation","","inspection","en"
"evaluation","","rating","en"
"evaluation","","test","en"
"evaluation","","testing","en"
"evaluation","","valuation","en"
"restaurant","","restaurant","en"
"family","","family","en"
"family","","folk","en"
"family","","kin","en"
"family","","kinfolk","en"
"family","","kinsfolk","en"
"family","","tribe","en"
"product","","product","en"
"product","","products","en"
"marketing","","marketing","en"
"marketing","","merchandising","en"
"marketing","","promoting","en"
"marketing","","selling","en"
"sugar","PF Ingredient; sugar","barbados sugar","en"
"sugar","PF Ingredient; sugar","barley malt","en"
"sugar","PF Ingredient; sugar","beet sugar","en"
"sugar","PF Ingredient; sugar","brown sugar","en"
"sugar","PF Ingredient; sugar","buttered syrup","en"
"sugar","PF Ingredient; sugar","cane juice","en"
"sugar","PF Ingredient; sugar","cane sugar","en"
"sugar","PF Ingredient; sugar","caramel","en"
"sugar","PF Ingredient; sugar","carob syrup","en"
"sugar","PF Ingredient; sugar","castor sugar","en"
"sugar","PF Ingredient; sugar","cellulose","en"
"sugar","PF Ingredient; sugar","confectioner sugar","en"
"sugar","PF Ingredient; sugar","confectioner's sugar","en"
"sugar","PF Ingredient; sugar","corn syrup","en"
"sugar","PF Ingredient; sugar","corn syrup solid","en"
"sugar","PF Ingredient; sugar","dehydrated cane juice","en"
"sugar","PF Ingredient; sugar","demerara sugar","en"
"sugar","PF Ingredient; sugar","dextran","en"
"sugar","PF Ingredient; sugar","dextrine","en"
"sugar","PF Ingredient; sugar","dextrose","en"
"sugar","PF Ingredient; sugar","diatase","en"
"sugar","PF Ingredient; sugar","disaccharide","en"
"sugar","PF Ingredient; sugar","ethyl maltol","en"
"sugar","PF Ingredient; sugar","freeflowing brown sugar","en"
"sugar","PF Ingredient; sugar","fructose","en"
"sugar","PF Ingredient; sugar","fruit juice","en"
"sugar","PF Ingredient; sugar","fruit juice concentrate","en"
"sugar","PF Ingredient; sugar","glucose","en"
"sugar","PF Ingredient; sugar","glucose solids","en"
"sugar","PF Ingredient; sugar","golden sugar","en"
"sugar","PF Ingredient; sugar","grape sugar","en"
"sugar","PF Ingredient; sugar","high fructose corn syrup","en"
"sugar","PF Ingredient; sugar","high-fructose corn syrup","en"
"sugar","PF Ingredient; sugar","high-fructose maize syrup","en"
"sugar","PF Ingredient; sugar","highfructosecornsyrup","en"
"sugar","PF Ingredient; sugar","honey","en"
"sugar","PF Ingredient; sugar","icing sugar","en"
"sugar","PF Ingredient; sugar","invert sugar","en"
"sugar","PF Ingredient; sugar","lactose","en"
"sugar","PF Ingredient; sugar","maize syrup solid","en"
"sugar","PF Ingredient; sugar","malt","en"
"sugar","PF Ingredient; sugar","malt syrup","en"
"sugar","PF Ingredient; sugar","maltodextrin","en"
"sugar","PF Ingredient; sugar","maltose","en"
"sugar","PF Ingredient; sugar","molassses","en"
"sugar","PF Ingredient; sugar","monosaccharide","en"
"sugar","PF Ingredient; sugar","muscovado","en"
"sugar","PF Ingredient; sugar","panocha","en"
"sugar","PF Ingredient; sugar","polysaccharide","en"
"sugar","PF Ingredient; sugar","powder sugar","en"
"sugar","PF Ingredient; sugar","powdered sugar","en"
"sugar","PF Ingredient; sugar","raw sugar","en"
"sugar","PF Ingredient; sugar","refiner syrup","en"
"sugar","PF Ingredient; sugar","refiner's syrup","en"
"sugar","PF Ingredient; sugar","rice syrup","en"
"sugar","PF Ingredient; sugar","saccharide","en"
"sugar","PF Ingredient; sugar","sorbitol","en"
"sugar","PF Ingredient; sugar","sorghum syrup","en"
"sugar","PF Ingredient; sugar","starch","en"
"sugar","PF Ingredient; sugar","sucrose","en"
"sugar","PF Ingredient; sugar","sugar","en"
"sugar","PF Ingredient; sugar","sugary","en"
"sugar","PF Ingredient; sugar","treacle","en"
"sugar","PF Ingredient; sugar","turbinado sugar","en"
"sugar","PF Ingredient; sugar","yellow sugar","en"
"cost","","cost","en"
"cost","","price","en"
"cost","","prices","en"
"cost","","toll","en"
"overeating","","gluttony","en"
"overeating","","gula","en"
"overeating","","overeating","en"
"profit","","corporate and shareholder earnings","en"
"profit","","corporate and shareholder gain","en"
"profit","","corporate and shareholder profit","en"
"profit","","corporate earnings","en"
"profit","","corporate gain","en"
"profit","","corporate profit","en"
"profit","","earnings","en"
"profit","","gain","en"
"profit","","gains","en"
"profit","","pay","en"
"profit","","profit","en"
"profit","","shareholder earnings","en"
"profit","","shareholder gain","en"
"profit","","shareholder profit","en"
"promise","","hope","en"
"promise","","promise","en"
"drink","","beverage","en"
"drink","","drink","en"
"taste","","gustation","en"
"taste","","taste","en"
"feeling","","emotion","en"
"feeling","","feeling","en"
"response","","answer","en"
"response","","reaction","en"
"response","","reply","en"
"response","","response","en"
"story","","account","en"
"story","","chronicle","en"
"story","","narration","en"
"story","","storey","en"
"story","","story","en"
"story","","tale","en"
"store","","shop","en"
"store","","store","en"
"fight","","battle","en"
"fight","","combat","en"
"fight","","conflict","en"
"fight","","dispute","en"
"fight","","engagement","en"
"fight","","fight","en"
"fight","","fighting","en"
"fight","","struggle","en"
"market","","market","en"
"job","","job","en"
"job","","occupation","en"
"video","","TV","en"
"video","","telecasting","en"
"video","","television","en"
"video","","video","en"
"hand","","hand","en"
"opinion","","belief","en"
"opinion","","impression","en"
"opinion","","opinion","en"
"opinion","","thought","en"
"control","","containment","en"
"control","","control","en"
"support","","support","en"
"demand","","demand","en"
"demand","","necessity","en"
"demand","","requirement","en"
"demand","","requisite","en"
"purchasing","","buying","en"
"purchasing","","purchasing","en"
"Water","","Water","en"
"Water","","water","en"
"Water","","eau","fr"
"Water","","wasser","de"
"organic","","bio","en"
"organic","","organic","en"
"meal","","meal","en"
"pleasure","","delight","en"
"pleasure","","joy","en"
"pleasure","","pleasance","en"
"pleasure","","pleasing","en"
"pleasure","","pleasure","en"
"pleasure","","rewarding","en"
"pleasure","","satisfaction","en"
"pleasure","","satisfying","en"
"important","","important","en"
"import","","import","en"
"purpose","","aim","en"
"purpose","","function","en"
"purpose","","intent","en"
"purpose","","intention","en"
"purpose","","purpose","en"
"purpose","","role","en"
"business","","business","en"
"delicious","","delicious","en"
"chicken","Animal","chicken","en"
"chicken","Animal","poulet","en"
"chicken","Animal","volaille","en"
"information","","info","en"
"information","","information","en"
"food truck","","food truck","en"
"food truck","","food trucks","en"
"food truck","","foodtruck","en"
"face","","cheek","en"
"face","","face","en"
"share","","share","en"
"deal","","bargain","en"
"deal","","barter","en"
"deal","","deal","en"
"deal","","swap","en"
"deal","","trade","en"
"meat","Meat","meat","en"
"body","","body","en"
"sleep","","nap","en"
"sleep","","rest","en"
"sleep","","sleep","en"
"sleep","","slumber","en"
"reading","","interpretation","en"
"reading","","reading","en"
"reading","","version","en"
"nature","","mother nature","en"
"nature","","nature","en"
"evidence","","evidence","en"
"evidence","","ground","en"
"evidence","","grounds","en"
"evidence","","land","en"
"evidence","","soil","en"
"natural","","natural","en"
"safe","","safe","en"
"safe","","safety","en"
"money","","money","en"
"scientist","Science","ecologist","en"
"scientist","Science","food scientist","en"
"scientist","Science","genetic engineer","en"
"scientist","Science","geneticist","en"
"scientist","Science","investigator","en"
"scientist","Science","nutrition scientist","en"
"scientist","Science","professor","en"
"scientist","Science","researcher","en"
"scientist","Science","scientist","en"
"frying","Food Processing","frying","en"
"frying","Food Processing","frying food","en"
"frying","Food Processing","frying of food","en"
"service","","service","en"
"industry","","industries","en"
"industry","","industry","en"
"study","","study","en"
"education","","education","en"
"education","","higher education","en"
"education","","instruction","en"
"education","","pedagogy","en"
"education","","teaching","en"
"education","","training","en"
"vegetable","","legume","en"
"vegetable","","veg","en"
"vegetable","","vegetable","en"
"vegetable","","veggie","en"
"processed food","Food; Processed Food","altered food","en"
"processed food","Food; Processed Food","altered produce","en"
"processed food","Food; Processed Food","changed food","en"
"processed food","Food; Processed Food","changed produce","en"
"processed food","Food; Processed Food","manufactured food","en"
"processed food","Food; Processed Food","manufactured produce","en"
"processed food","Food; Processed Food","prepared food","en"
"processed food","Food; Processed Food","prepared produce","en"
"processed food","Food; Processed Food","process food","en"
"processed food","Food; Processed Food","process produce","en"
"processed food","Food; Processed Food","processed food","en"
"processed food","Food; Processed Food","processed food product","en"
"processed food","Food; Processed Food","processed foods","en"
"processed food","Food; Processed Food","processed produce","en"
"processed food","Food; Processed Food","processed stuff","en"
"processed food","Food; Processed Food","processedfood","en"
"processed food","Food; Processed Food","processedproduce","en"
"processed food","Food; Processed Food","transformed food","en"
"processed food","Food; Processed Food","transformed produce","en"
"processed food","Food; Processed Food","treated food","en"
"processed food","Food; Processed Food","treated produce","en"
"delay","","delay","en"
"delay","","holdup","en"
"delay","","postponement","en"
"delay","","wait","en"
"fast food chain","","fast food chain","en"
"fast food chain","","fast food industry","en"
"fast food chain","","fast food outlet","en"
"fast food chain","","fast food restaurant","en"
"nutrition","","aliment","en"
"nutrition","","alimentation","en"
"nutrition","","nourishment","en"
"nutrition","","nutriment","en"
"nutrition","","nutrition","en"
"nutrition","","sustenance","en"
"nutrition","","victuals","en"
"fraud","","deception","en"
"fraud","","dissembler","en"
"fraud","","dissimulator","en"
"fraud","","dupery","en"
"fraud","","fake","en"
"fraud","","faker","en"
"fraud","","fraud","en"
"fraud","","fraudulence","en"
"fraud","","hoax","en"
"fraud","","humbug","en"
"fraud","","hypocrite","en"
"fraud","","imposter","en"
"fraud","","impostor","en"
"fraud","","phoney","en"
"fraud","","phony","en"
"fraud","","pretender","en"
"fraud","","pseud","en"
"fraud","","pseudo","en"
"fraud","","quack","en"
"fraud","","sham","en"
"fraud","","shammer","en"
"reason","","reason","en"
"Grocery Manufacturers Association","","GMA","en"
"Grocery Manufacturers Association","","Grocery Manufacturers Association","en"
"Grocery Manufacturers Association","","Pamela Bailey","en"
"Grocery Manufacturers Association","","foodstuff manufacturers of america","en"
"Grocery Manufacturers Association","","grocery manufacturers of america","en"
"name","","name","en"
"dinner","","dinner","en"
"quality","","caliber","en"
"quality","","calibre","en"
"quality","","character","en"
"quality","","quality","en"
"maggi","Brand; Nestle brand","Nestle Maggi","en"
"maggi","Brand; Nestle brand","Nestlé Maggi","en"
"maggi","Brand; Nestle brand","maggi","en"
"maggi","Brand; Nestle brand","maggie","en"
"maggi","Brand; Nestle brand","maggy","en"
"question","","question","en"
"fat","PF Ingredient; fat","blubber","en"
"fat","PF Ingredient; fat","dietary fat","en"
"fat","PF Ingredient; fat","fat","en"
"fat","PF Ingredient; fat","fatness","en"
"approval","","approval","en"
"research","","enquiry","en"
"research","","inquiry","en"
"research","","research","en"
"advertisement","","advert","en"
