article,use case,score (expert 1),score update (expert 1),notes (expert 1),score (expert 2),score update (expert 2),note (expert 2)
http://www.marketwatch.com/story/cigarette-maker-stocks-plunge-on-fda-announcement-but-health-experts-are-skeptical-2017-07-28?link=sfmw_tw,ATC,0,,,-1,,"Pros
- Graphic, video
Cons
- The graphic can be quite difficult to understand
- Talks about cigarette, but then introduces other issues such as calories on restaurant menus or Coke. It can be a little bit confusing.
- ""Altria shares have declined 1% year-to-date, compared with gains of 19.4% in Philip Morris stock and a 2.4% gain in British American Tobacco stock. The S&P 500 SPX, -1.44% has risen 10.4% year-to-date."" Confusing paragraph"
http://www.nutritionadvance.com/coffee-negative-effects/,ATC,2,,Nutritionadvance.com provides trustworthy food and nutrition articles based on science. What I highlight about this article is the fact that the author includes references and specially key points summarizing each main part in an easy-to-digest way.,2,,"Pros
-Infographics
- Well organised
- Interesting for the general public
- Conclusion after each part"
http://www.prevention.com/health/a20477129/what-happens-when-you-stop-drinking-alcohol/,ATC,1,,,0,,"Pros
- Easy to understand
- Attractive for the general public, presented in an organized and structured way
Cons
- Some misleading sentences, such as: ""Cut those from your diet—and don't replace them with desserts—and you'll start to lose weight without much effort."" The weight depends on lots of factors, not only on alcohol drinking.
- The sentence: ""multiple studies have shown moderate alcohol consumption may lower your odds of heart trouble"". That's not true for all types of alcohols, just for the ones with antioxidants."
http://www.self.com/story/i-did-dry-january-and-it-was-way-easier-than-i-expected?mbid=social_twitter,ATC,-2,-2,The whole article is based on a personal opinion.,2,-1,"Pros
- It's close to people because it describes the woman's own experience.
- Easy to understand
Cons:
- Giving up on alcohol does not affect everyone in the same way, so it could give false expectations"
http://www.thisisinsider.com/photo-airport-smoking-section-damage-ceiling-cigarettes-2017-10?utm_content=buffer10317&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer-insider-twitter,ATC,0,,,0,,"Pros:
- Photos always make it easier to gain attention
- Simple and short
Cons
- Lack of scientific information"
http://www.voanews.com/a/number-of-cigarette-smokers-decline-in-us/4221547.html?utm_source=dlvr.it&utm_medium=twitter,ATC,0,,,1,,"Pros
- Simple and easy to understand"
http://www.weforum.org/agenda/2017/03/how-to-get-people-to-quit-smoking-pay-them-of-course?utm_content=bufferefa6e&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer,ATC,2,1,,0,1,"Cons
- Maybe it is encouraging people to look for this types of incentives.
- In some parts, there are too many numbers and it may be confusing"
http://www.womenshealthmag.com/health/a19643753/coffee-cancer-warning-label-california/?utm_source=t.co&utm_medium=Social&utm_term=1446980298&utm_campaign=Women's%20Health,ATC,0,,Sources of information include mainly opinions from others or past posts that have been previously published in Women's Health. Both of them are in the lowest level in the pyramid of scientific hierarchy.,1,,"Pros
- Humor
Cons
- Confusing sentence: (...)whether it directly causes cancer, but the acrylamide is a known carcinogen
- Maybe a little bit too informal... it's a serious topic"
https://www.outsideonline.com/2153736/sorry-folks-beer-still-isnt-health-food,ATC,2,2,Very well-structured health news article that rigorously reports benefits and weak points of consuming alcohol.,0,,"Pros
- Videos
- Informal tone
Cons
- The news are not really about science, but about tobacco industry"
http://dailyhealthpost.com/bee-venom-hiv-cure/,CRISPR,0,,"Ok, but could be better. Some references were a bit weak. Almost ""low"" the clasification.",-1,,
http://futurism.com/scientists-just-surgically-removed-hiv-dna-from-live-animals/?ref=quuu&utm_content=buffer1d5e1&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer,CRISPR,-1,,"The phrase ""Removed HIV DNA From Live Animals"" could be confusing for the reader. They could think that scientists may have a final cure which is not the case.

Other articles in the same webpage (some of them better grounded than this one) have claimed that a phrase like ""no one in the world has ever done this before"" is a mistake",-1,,"""syrgically removed is misleading. Implies that you cut open the animal and with a scapel you edit the genome."
http://futurism.com/scientists-move-remarkably-close-to-a-functional-cure-for-hiv/?utm_source=dlvr.it&utm_medium=twitter,CRISPR,1,"I keep the grade. I agree that the references are mostly of their own website, but those links have good enough references. It looks like in  the webpage they are writting a lot about the topic",,-1,,reference are mostly to their own site or other websites. I stick to my note
http://futurism.com/the-fda-just-approved-a-first-of-its-kind-drug-that-targets-cancers-genes/,CRISPR,0,"-1. I agree about what Dimitra says,  in the way it is written in the webpage which can be confusing, tough I think CRISPR it´s shown to us like an alternative. It doesnt bother me.",,-2,maybe -1. Again weak referenes ,"CRISPR is irrelevant to the drug.
They way they write it though implies that this technology is used which is untrue."
http://genomealberta.ca/livestock/old-mcdonalds-geneedited-farm.aspx,CRISPR,-2,I keep the grade. I still think that they could mention some practical problems. The article makes it look like everything is wonderful but we still have problems with GMO,"No references. Also, the article doesn't mention risks, problems, or technical difficulties to do the different things that it mentions",1,,"I see the point of the lack of referenes, but the content is very accurate and the article covers very nicely many potential applications of CRIPSR technology."
http://joshmitteldorf.scienceblog.com/2016/12/23/from-santa-diego-a-jolla-xmas-gift/,CRISPR,1,,"It does not ground all the information with evidence, part of the grounding is of dubious quality",1,,
http://labiotech.eu/hiv-cure-abivax-review/,CRISPR,0,,Some refferences could be better,0,,
http://mashable.com/2017/05/03/scientists-crispr-hiv-infection-mice/?utm_campaign=Mash-Prod-RSS-Feedburner-All-Partial&utm_cid=Mash-Prod-RSS-Feedburner-All-Partial,CRISPR,-1,0. The explanation of the study is ok. I think that there could be some extra explanation for the people who are not an expert (some terms for exampl0.e),,1,,explains very comprehensively the study 
http://medium.com/@TwistBioscience/top-moments-in-synthetic-biology-2016-b43c74913896#.ldbeda4ns,CRISPR,2,,,1,,
http://newatlas.com/hiv-cure-crispr-cas9-mice/49358/,CRISPR,1,,,0,,
http://www.biotech-now.org/corporate/2016/12/world-aids-day-untreatable-to-beatable?utm_source=Feedburner&utm_medium=feed&utm_campaign=Feed%3A+BiotechNow+%28BIOtech+Now%29&utm_term=RSS+Subscription,CRISPR,0,,,-1,,more of an timeline overview rather than scientific data
http://www.fooddemocracynow.org/blog/2016/nov/8-0,CRISPR,-1,,,0,,
http://www.huffingtonpost.com/entry/ending-aids-progress-and-peril-on-this-world-aids_us_583f6912e4b0b93e10f8defc,CRISPR,1,"0. I agree with Dimitra's analysis, but I evaluated the article in that way. There could be more references in natural science stuff, but in social issues they are ok",There could be a bit more references in some parts (high),-1,,This is more of an article about the history of AIDS and some statistics about demographics. There isn't much scientific content supported by references.
http://www.ibtimes.co.uk/top-5-breakthroughs-2016-aids-hiv-research-1593844,CRISPR,1,,,0,,
http://www.medicaldaily.com/hiv-research-breakthroughs-2016-how-close-weve-come-cure-and-better-treatments-406697?utm_medium=twitter&utm_source=dlvr.it,CRISPR,2,"I keep the grade. I evaluated not only the article, but the references and how good they are. I think that the article itself, without the link-check, deserves a 0","The article itself looks like an abstract, however, every key aspect of it is backed up with links of excellent quality. It was even possible with these links to follow the track to the original paper. For these reasons I ended up ranking this article so well, despite it may not provide all the info.",0,,the article mentions superficially 3 different approaches against HIV. 
http://www.motherjones.com/food/2016/04/what-i-learned-my-five-hour-tour-monsanto-hq/,CRISPR,-1,,,-1,,
http://www.natureworldnews.com/articles/37835/20170504/aids-breakthrough-how-crispr-gene-editing-successfully-eliminates-hiv-infection-in-animal-models.htm?utm_source=dlvr.it&utm_medium=twitter,CRISPR,-2,I keep the grade. I stand with my analysis,Wrong title; they don't explain some crucial terms,0,,"they discribe the study in a sufficient manner. Not complete, hence my score"
http://www.shontavia.com/fullblog/2016/crispr-in-agriculture-an-overview-of-the-gene-edited-food-that-probably-isnt-a-gmo,CRISPR,0,,Low quality in some references,1,,
http://www.thebody.com/content/79877/real-or-not-hiv-cure-in-animals-using-crispr-gene-.html?ap=2008,CRISPR,2,"I keep the grade. I think that every sentence are well-supported and is a contribution not for the difusion of CRISPR technique, but for hit some misscomprensions",Perfect. Take all the criteria and it's very well supported,0,,I was between 0 and 1 tbh in this one
http://www.theverge.com/2016/5/4/11581994/fmt-fecal-matter-transplant-josiah-zayner-microbiome-ibs-c-diff,CRISPR,-,,Far away from my expertice,-1,,
